user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,18,46,62.472395234375,62.825336234374994
True,piano,15,56,62.472395234375,62.825336234374994
True,piano,18,72,62.648865734375,62.825336234374994
True,piano,18,49,62.825336234374994,63.178277234375
True,piano,14,70,62.825336234374994,63.354747734374996
True,piano,22,53,63.178277234375,63.531218234375
True,piano,19,73,63.531218234375,64.148864984375
True,piano,18,65,63.531218234375,64.148864984375
True,piano,18,55,63.531218234375,64.325335484375
True,piano,20,51,63.531218234375,64.325335484375
True,piano,19,46,63.531218234375,64.325335484375
True,piano,19,65,64.237100234375,64.501805984375
True,piano,20,73,64.237100234375,64.501805984375
True,piano,18,51,64.590041234375,64.942982234375
True,piano,20,58,64.590041234375,64.942982234375
True,piano,15,61,64.590041234375,64.942982234375
True,piano,16,55,64.590041234375,64.942982234375
True,piano,22,65,64.590041234375,64.942982234375
True,piano,20,73,64.590041234375,64.942982234375
True,piano,18,51,64.942982234375,65.295923234375
True,piano,20,70,64.942982234375,65.295923234375
True,piano,18,72,65.295923234375,65.560628984375
True,piano,18,65,65.295923234375,65.560628984375
True,piano,22,55,65.295923234375,65.648864234375
True,piano,19,65,65.648864234375,66.266510984375
True,piano,20,72,65.648864234375,66.266510984375
True,piano,19,44,65.648864234375,66.442981484375
True,piano,18,56,65.648864234375,66.442981484375
True,piano,19,48,65.648864234375,66.442981484375
True,piano,22,51,65.648864234375,66.442981484375
True,piano,21,63,66.354746234375,66.707687234375
True,piano,21,75,66.354746234375,66.707687234375
True,piano,21,84,66.707687234375,67.237098734375
True,piano,20,72,66.707687234375,67.237098734375
True,piano,19,43,66.707687234375,67.501804484375
True,piano,15,46,66.707687234375,67.501804484375
True,piano,15,51,66.707687234375,67.501804484375
True,piano,18,55,66.707687234375,67.501804484375
True,piano,18,68,67.413569234375,67.76651023437499
True,piano,20,80,67.413569234375,67.76651023437499
True,piano,20,82,67.76651023437499,68.119451234375
True,piano,20,70,67.76651023437499,68.119451234375
True,piano,22,48,67.76651023437499,68.56062748437499
True,piano,18,53,67.76651023437499,68.56062748437499
True,piano,19,41,67.76651023437499,68.56062748437499
True,piano,17,68,68.119451234375,68.384156984375
True,piano,18,65,68.215039421875,68.832686171875
True,piano,20,60,68.825333234375,69.178274234375
True,piano,18,53,68.825333234375,69.178274234375
True,piano,16,56,68.825333234375,69.178274234375
True,piano,20,72,69.178274234375,69.442979984375
True,piano,18,65,69.178274234375,69.442979984375
True,piano,18,53,69.178274234375,69.531215234375
True,piano,17,65,69.531215234375,69.795920984375
True,piano,16,72,69.531215234375,69.795920984375
True,piano,22,56,69.531215234375,69.884156234375
True,piano,21,73,69.884156234375,70.41356773437501
True,piano,19,65,69.884156234375,70.41356773437501
True,piano,18,49,69.884156234375,70.678273484375
True,piano,22,46,69.884156234375,70.678273484375
True,piano,19,41,69.884156234375,70.678273484375
